rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
13332;9;COLEGIO SAINT MARY SCHOOL;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;4;3;4;1;20;22;255;274;-13;5;-14;-14;0;0;-1;-1;;;;;40.0;40.0;20.0;31.8;40.9;27.3;0;20240418;final20240418v1;2m;2023
17660;5;SCUOLA ITALIANA DI CONCEPCION;8;DEL BIOBÍO;81;CONCEPCIÓN;8102;CORONEL;83;Concepcion;3;2;5;1;23;24;317;348;18;66;31;25;1;1;1;1;;;;;0.0;17.4;82.6;0.0;20.8;79.2;0;20240418;final20240418v1;2m;2023
24885;1;COLEGIO KING SCHOOL CORDILLERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;3;2;1;1;128;122;225;230;10;7;-2;3;1;0;0;0;;;;;71.9;20.3;7.8;68.9;24.6;6.6;0;20240418;final20240418v1;2m;2023
14314;6;COLEGIO THOMAS ALVA EDISON;5;DE VALPARAÍSO;58;MARGA MARGA;5801;QUILPUÉ;53;Valparaiso - Isla de Pascua;3;2;3;1;30;30;273;288;-10;-12;17;24;0;0;1;1;;;;;23.3;46.7;30.0;26.7;36.7;36.7;0;20240418;final20240418v1;2m;2023
6983;3;COLEGIO JOSE MANUEL BALMACEDA FÉRNANDEZ;14;DE LOS RÍOS;142;DEL RANCO;14202;FUTRONO;142;Ranco;2;1;1;1;23;17;242;227;;;;;;;;;2;2;1;1;56.5;30.4;13.0;70.6;17.6;11.8;0;20240418;final20240418v1;2m;2023
9147;2;COLEGIO PARTICULAR N 1 DE NUNOA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13120;ÑUÑOA;133;Oriente;3;2;3;1;38;37;279;304;-10;25;23;40;0;1;1;1;;;;;18.4;50.0;31.6;21.6;43.2;35.1;0;20240418;final20240418v1;2m;2023
9986;4;LICEO POLITECNICO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13126;QUINTA NORMAL;134;Poniente;1;1;2;1;84;83;225;246;0;13;-15;2;0;0;-1;0;;;;;64.3;28.6;7.1;55.4;37.3;7.2;0;20240418;final20240418v1;2m;2023
13475;9;COLEGIO SAN MARTIN DE PORRES;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;3;2;2;1;63;61;223;218;3;-6;-17;-26;0;0;-1;-1;;;;;74.6;19.0;6.3;75.4;19.7;4.9;0;20240418;final20240418v1;2m;2023
9396;3;COLEGIO SANTA CECILIA DE LA FLORIDA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;4;3;5;1;31;30;254;301;-9;29;-32;-22;0;1;-1;-1;;;;;38.7;29.0;32.3;16.7;36.7;46.7;0;20240418;final20240418v1;2m;2023
8904;4;COLEGIO SANTA URSULA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13132;VITACURA;133;Oriente;4;3;5;1;42;38;305;368;15;11;19;45;1;0;1;1;;;;;9.5;19.0;71.4;0.0;23.7;76.3;0;20240418;final20240418v1;2m;2023
41264;3;COLEGIO EL ROBLE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13120;ÑUÑOA;133;Oriente;4;3;5;1;7;10;222;217;;;-64;-106;;;-1;-1;;;2;2;0.0;0.0;0.0;80.0;10.0;10.0;0;20240418;final20240418v1;2m;2023
8755;6;COLEGIO SAINT ROSE SCHOOL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;4;3;5;1;25;25;268;299;-26;4;-18;-24;-1;0;-1;-1;;;;;32.0;36.0;32.0;32.0;36.0;32.0;0;20240418;final20240418v1;2m;2023
3886;5;LICEO BICENTENARIO MANUEL JESUS ORTIZ;16;DE ÑUBLE;161;DIGUILLÍN;16108;SAN IGNACIO;161;Diguillín;2;1;1;1;46;46;222;221;;;-5;-6;;;0;0;;;1;1;65.2;28.3;6.5;78.3;17.4;4.3;0;20240418;final20240418v1;2m;2023
25526;2;ESCUELA PART.  CURACAVI COLLEGE;13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13503;CURACAVÍ;135;Talagante;3;2;2;1;72;72;225;237;1;2;-15;-7;0;0;-1;0;;;;;66.7;29.2;4.2;59.7;37.5;2.8;0;20240418;final20240418v1;2m;2023
24985;8;COLEGIO KENDAL ENGLISH SCHOOL ANEXO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;4;3;5;1;20;18;301;334;53;;15;11;1;;1;1;;;;1;15.0;15.0;70.0;5.6;38.9;55.6;0;20240418;final20240418v1;2m;2023
5509;3;LICEO BICENTENARIO INDÓMITO DE PURÉN;9;DE LA ARAUCANÍA;92;MALLECO;9208;PURÉN;91;Malleco;2;1;2;1;44;45;259;252;13;-11;19;8;1;0;1;0;;;;;31.8;45.5;22.7;53.3;37.8;8.9;0;20240418;final20240418v1;2m;2023
2263;2;ESCUELA MUNICIPAL DE GULTRO;6;DEL LIBERTADOR BERNARDO OHIGGINS;61;CACHAPOAL;6111;OLIVAR;61;Cachapoal;2;1;1;2;22;21;233;239;9;25;6;12;0;1;0;0;;;;;68.2;27.3;4.5;61.9;28.6;9.5;0;20240418;final20240418v1;2m;2023
12001;4;COLEGIO PARTICULAR EVANGÉLICO BETANIA;16;DE ÑUBLE;161;DIGUILLÍN;16101;CHILLÁN;161;Diguillín;3;2;1;1;31;30;236;225;27;2;9;-2;1;0;1;0;;;;;64.5;16.1;19.4;66.7;33.3;0.0;0;20240418;final20240418v1;2m;2023
24444;9;LICEO INDUSTRIAL HARDWARE;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13401;SAN BERNARDO;132;Sur;1;1;1;1;72;72;226;224;10;14;-1;-3;0;0;0;0;;;;;62.5;29.2;8.3;76.4;22.2;1.4;0;20240418;final20240418v1;2m;2023
8111;6;LICEO BICENTENARIO QUEMCHI;10;DE LOS LAGOS;102;CHILOÉ;10209;QUEMCHI;102;Chiloe;2;1;1;1;59;62;215;222;-17;-11;-12;-5;-1;0;-1;0;;;;;71.2;25.4;3.4;75.8;22.6;1.6;0;20240418;final20240418v1;2m;2023
9771;3;CHILEAN EAGLES COLLEGE - LA CISTERNA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13109;LA CISTERNA;132;Sur;3;2;2;1;75;75;240;257;-26;-8;0;13;-1;0;0;1;;;;;58.7;26.7;14.7;56.0;25.3;18.7;0;20240418;final20240418v1;2m;2023
24427;9;COLEGIO SAN VIATOR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13118;MACUL;133;Oriente;3;2;4;1;78;75;277;294;0;9;8;6;0;0;1;1;;;;;30.8;30.8;38.5;22.7;45.3;32.0;0;20240418;final20240418v1;2m;2023
